model_year,milage,accident,clean_title,price,horsepower,turbo,is_luxury,is_upper_class
2000,194277.0,1,1,2300,222.0,0,0,0
2015,13300.0,0,1,62500,449.0,0,0,0
2020,30426.0,1,0,29645,,0,0,0
2020,67072.0,0,1,38500,375.0,0,0,0
2016,99000.0,1,1,5000,172.0,0,0,0
2020,16425.0,1,0,33200,,0,0,0
2013,53900.0,1,0,27450,420.0,0,0,0
2014,146700.0,1,1,24999,270.0,0,0,0
2017,94000.0,0,1,26000,325.0,0,0,0
2022,46347.0,0,0,46120,,0,0,0
2022,7100.0,0,1,49000,302.0,0,0,0
2022,21701.0,0,0,25099,,0,0,0
2022,6875.0,0,1,89000,471.0,0,0,0
2013,101000.0,0,1,59000,545.0,0,0,0
2017,53000.0,0,1,47500,510.0,0,0,0
2019,97000.0,1,1,45000,370.0,0,0,1
2023,9275.0,0,0,43900,,1,0,0
2012,123815.0,0,1,5000,283.0,0,0,0
2018,92000.0,1,1,36500,250.0,0,0,0
2016,51400.0,1,0,39900,381.0,0,0,0
2013,230000.0,0,1,15500,315.0,0,0,0
2008,187000.0,1,1,6100,,0,0,0
2016,78101.0,0,1,34500,449.0,0,0,0
2011,47400.0,1,1,41000,518.0,0,0,0
2019,2800.0,0,1,91000,526.0,0,0,0
2023,2800.0,0,1,92000,835.0,0,0,0
2023,7388.0,0,1,105500,355.0,0,0,0
2018,62000.0,0,1,30500,316.0,0,0,0
2013,67000.0,1,1,24500,555.0,0,0,0
2018,50992.0,1,1,28000,260.0,0,0,0
2022,3213.0,0,1,89995,503.0,0,0,0
2006,42000.0,0,1,42000,505.0,0,0,0
2015,27000.0,0,1,33000,426.0,0,0,0
2019,66075.0,0,0,23754,,0,0,0
2021,42245.0,0,0,76598,,1,0,0
2022,11945.0,0,0,38998,,0,0,0
2021,45000.0,0,1,52000,375.0,0,0,0
2022,10120.0,0,0,39998,,0,0,0
2006,65000.0,1,0,43000,355.0,0,0,1
2021,1685.0,0,1,250000,,1,0,0
2017,69404.0,1,1,29500,416.0,0,0,1
2016,115600.0,0,1,22500,380.0,0,0,1
2012,150900.0,0,1,17500,381.0,0,0,0
2021,18100.0,0,1,51800,349.0,0,0,0
2022,4700.0,0,1,134000,414.0,0,0,1
2020,19400.0,0,1,58000,310.0,0,0,0
2005,175722.0,0,1,7000,302.0,0,0,0
2018,42780.0,1,1,41100,455.0,0,0,0
2020,68816.0,0,1,35297,,1,0,0
2015,102242.0,1,0,11498,,0,0,0
2011,82000.0,1,1,20000,320.0,0,0,0
2017,40600.0,0,1,32000,252.0,0,0,1
2022,22372.0,0,0,54598,,0,0,0
2017,55000.0,0,1,40000,320.0,0,0,0
2018,38000.0,0,1,32000,400.0,0,0,0
2022,24500.0,0,1,47000,261.0,0,0,0
2017,48600.0,0,1,60999,640.0,0,0,0
2016,79995.0,0,1,23995,445.0,0,0,0
2008,100000.0,1,1,11500,380.0,0,0,0
2021,24670.0,0,1,72500,490.0,0,0,0
2017,52500.0,1,1,24950,247.0,0,0,0
2023,1156.0,0,1,54900,295.0,0,0,0
2007,81400.0,1,1,11000,166.0,0,0,0
2023,655.0,0,1,94500,835.0,0,0,0
2019,51338.0,0,1,49900,355.0,0,0,0
2023,4285.0,0,1,65688,,0,0,1
2020,74725.0,0,1,21612,,1,0,0
2014,157530.0,1,1,9995,,0,0,0
2021,16554.0,0,0,51698,,0,0,1
2021,7388.0,0,1,43663,,0,0,0
2014,88000.0,0,1,15500,302.0,0,0,0
2016,68000.0,1,1,20000,252.0,0,0,0
2005,138450.0,1,1,19000,500.0,0,0,0
2019,36000.0,1,1,41995,335.0,0,0,0
2023,1930.0,1,1,40655,,1,0,0
2022,13500.0,0,1,86999,325.0,0,0,1
2021,22480.0,0,1,135800,416.0,0,0,0
2021,15000.0,0,1,69000,355.0,0,0,0
2023,159.0,0,1,95500,533.0,0,0,0
2012,91545.0,0,1,8999,175.0,0,0,0
2000,133510.0,0,1,4500,120.0,0,0,0
2023,3490.0,0,1,95580,503.0,0,0,0
2016,128032.0,0,1,18000,311.0,0,0,0
2018,19300.0,0,1,64000,425.0,0,0,0
2018,46000.0,0,1,40000,380.0,0,0,0
2019,58000.0,0,1,38000,247.0,0,0,0
2023,820.0,0,0,51998,,0,0,0
2007,179000.0,1,1,17900,239.0,0,0,0
2007,65000.0,1,1,33885,400.0,0,0,0
2013,16478.0,0,1,66400,650.0,0,0,0
2022,29500.0,0,1,31000,303.0,0,0,0
2022,28377.0,0,0,36999,,0,0,0
2014,86281.0,0,1,18900,288.0,0,0,0
2012,122000.0,1,1,13500,370.0,0,0,0
2005,209500.0,0,1,8500,282.0,0,0,0
2023,1150.0,0,1,96850,835.0,0,0,0
2013,61074.0,0,1,16800,305.0,0,0,0
2015,97300.0,0,1,29995,240.0,0,0,1
2020,120000.0,0,1,55000,420.0,0,0,0
2006,27407.0,0,1,21750,300.0,0,0,0
2013,103111.0,1,1,9200,199.0,0,0,0
2021,9835.0,0,0,34999,,1,0,0
2009,83853.0,1,1,6950,172.0,0,0,0
2010,23133.0,0,1,35000,430.0,0,0,0
2019,35248.0,0,0,53998,,1,0,0
2020,30930.0,0,0,28900,,1,0,0
2022,250.0,0,1,52000,295.0,0,0,0
