model_year,milage,accident,clean_title,price,turbo,is_luxury,is_upper_class,engine_score
2020,41500.0,0,1,51500.0,0,0,0,-0.048
2004,99600.0,0,1,7500.0,0,0,0,-1.138
2004,229450.0,0,1,9900.0,0,0,0,0.343
2019,24500.0,0,1,42500.0,0,0,0,1.15
2015,76500.0,0,1,21250.0,0,0,0,0.471
2023,1400.0,0,1,62900.0,0,0,0,-0.145
2007,143250.0,0,1,9200.0,0,0,0,-0.036
2005,103466.0,0,1,11000.0,0,0,0,-0.143
2012,87500.0,1,1,11800.0,0,0,0,0.74
2013,173000.0,1,1,26750.0,0,0,0,1.176
2014,82963.0,1,1,19500.0,0,0,0,-0.052
2020,19319.0,0,1,29255.0,0,0,0,-0.576
2017,63000.0,0,1,20000.0,0,0,0,0.161
2019,51000.0,0,1,51950.0,0,0,0,-0.707
2019,14442.0,0,1,34900.0,0,0,0,-0.757
2020,17300.0,0,1,35000.0,0,0,0,-0.06
2016,54323.0,0,1,30000.0,0,0,0,1.055
2001,102000.0,0,1,3900.0,0,0,0,-0.248
2020,24213.0,0,1,71999.0,1,0,1,-0.133
2014,82900.0,1,1,16000.0,0,0,0,-0.071
2019,46100.0,0,1,36599.0,0,0,0,1.279
2005,138000.0,0,1,9900.0,0,0,0,-0.49
2008,110000.0,1,1,26000.0,0,0,0,1.017
2012,90000.0,0,1,16000.0,0,0,0,-0.014
2021,10400.0,0,1,45000.0,0,0,0,1.105
2021,61874.0,0,1,45423.0,1,0,0,-0.091
2002,67303.0,0,1,5900.0,0,0,0,-0.921
2007,64532.0,0,1,21000.0,0,0,0,-0.033
2010,49620.0,0,1,8950.0,0,0,0,-0.236
2006,110000.0,0,1,8500.0,0,0,0,-0.117
2015,50000.0,1,1,70000.0,0,0,0,-0.745
2017,1000.0,0,1,31000.0,0,0,0,0.117
2018,29500.0,1,1,54490.0,0,0,0,2.083
2011,57500.0,1,1,11200.0,0,0,0,-0.131
2016,163500.0,0,1,5949.0,0,0,0,-0.036
2001,94500.0,0,1,5750.0,0,0,0,-0.248
2020,7200.0,0,1,65000.0,0,0,0,0.167
2007,16000.0,0,1,53000.0,0,0,0,0.602
2022,2900.0,0,1,33999.0,0,0,0,1.188
2011,187141.0,0,1,6500.0,0,0,0,-0.69
2011,185000.0,0,1,9000.0,0,0,0,-0.774
2017,55000.0,0,1,30000.0,0,0,0,-0.845
2023,6397.0,0,1,124990.0,0,0,0,0.057
2016,103000.0,0,1,19500.0,0,0,0,-0.036
2005,55700.0,1,1,11995.0,0,0,0,-0.145
2020,62197.0,0,1,49900.0,0,0,0,-0.091
2015,73500.0,1,1,36800.0,0,0,0,-0.771
2022,8660.0,0,1,34000.0,0,0,0,1.105
2014,159890.0,0,1,7000.0,0,0,0,0.019
2022,120000.0,1,1,59000.0,0,0,0,0.717
2016,56006.0,0,1,45000.0,0,0,0,0.06
2018,51850.0,0,1,43500.0,0,0,0,0.176
2021,17941.0,0,1,75950.0,0,0,0,0.987
2007,19500.0,0,1,100000.0,0,0,0,1.329
2023,47839.0,0,1,69645.0,1,0,0,1.071
2022,17451.0,0,1,56900.0,1,0,1,1.137
2014,53900.0,0,1,22500.0,0,0,0,-0.124
2016,99915.0,0,1,24000.0,0,0,0,-0.036
2016,106000.0,0,1,23300.0,0,0,0,-0.483
2006,131000.0,0,1,5500.0,0,0,0,1.005
2008,7500.0,0,1,80000.0,0,0,0,1.045
2016,48000.0,0,1,16500.0,0,0,0,-0.85
2016,92100.0,0,1,46000.0,0,0,0,0.75
2007,125900.0,0,1,8900.0,0,0,0,1.057
2019,92000.0,1,1,36500.0,0,0,0,1.176
2023,2500.0,0,1,61995.0,0,0,0,-1.024
2019,73049.0,0,1,37400.0,1,0,0,0.006
2019,29886.0,0,1,12499.0,1,0,0,-0.091
2009,155000.0,1,1,12000.0,0,0,0,-0.079
2020,53450.0,0,1,32450.0,0,0,0,-0.576
2019,25108.0,0,1,49500.0,0,0,0,0.164
2022,19352.0,0,1,29998.0,0,0,0,-0.393
2020,29800.0,0,1,43000.0,0,0,0,-0.757
2016,71290.0,1,1,22000.0,0,0,0,-0.06
