model_year,milage,accident,clean_title,price,turbo,brand_encoded,engine_score
2013,51000.0,1,1,10300.0,0,4,-0.010966810966810897
2021,34742.0,1,1,38005.0,0,2,0.3097402597402597
2022,22372.0,0,0,54598.0,0,4,0.0
2015,88900.0,0,1,15500.0,0,2,0.08730158730158734
2021,9835.0,0,0,34999.0,1,4,-0.42886002886002883
2016,136397.0,0,0,14798.0,0,3,-0.684126984126984
2017,84000.0,0,1,31000.0,0,4,-0.4875901875901876
2001,242000.0,0,1,7300.0,0,4,0.25223665223665237
2021,23436.0,0,1,41927.0,0,4,-0.015079365079365034
2020,34000.0,0,1,69950.0,0,5,1.018903318903319
2021,27608.0,0,0,73897.0,0,5,0.08917581666424886
2019,22770.0,0,1,184606.0,0,6,1.8044011544011547
2021,12500.0,0,1,53500.0,0,3,0.07821067821067826
2022,18196.0,0,1,62000.0,0,3,0.1210678210678211
2020,15903.0,0,0,47998.0,0,3,-0.42886002886002883
2013,79800.0,0,1,29990.0,0,5,0.5645743145743146
2021,1685.0,0,1,250000.0,1,5,-0.42886002886002883
2013,61074.0,0,1,16800.0,0,3,-0.014213564213564157
2003,74000.0,0,1,11000.0,0,3,-0.07222222222222217
2018,35250.0,0,1,68750.0,0,3,0.9812409812409814
2023,5400.0,1,0,60000.0,0,5,0.13730158730158734
2000,133510.0,0,1,4500.0,0,4,-0.8668109668109668
2020,25990.0,0,0,38598.0,1,4,0.07662337662337662
2023,2823.0,0,1,58504.0,1,4,0.0
2021,52000.0,0,1,61000.0,0,4,0.5624098124098125
2022,11650.0,0,1,32300.0,0,2,-0.5256854256854256
2016,96541.0,0,0,13998.0,0,3,-0.8940836940836939
2021,17500.0,0,1,59995.0,0,5,-0.27330447330447327
2015,69000.0,0,1,25700.0,0,4,0.6403318903318904
2017,81880.0,0,1,21375.0,1,4,-0.42886002886002883
2018,28800.0,0,1,48000.0,0,5,0.030591630591630642
2006,300183.0,1,1,10900.0,0,3,0.5992063492063493
2020,35035.0,0,0,24998.0,0,4,0.08917581666424886
2011,171000.0,0,1,5999.0,0,3,-0.09841269841269835
2016,118700.0,0,1,46900.0,0,4,0.6896825396825398
2017,119000.0,0,1,15900.0,0,3,-0.6936507936507935
2018,44261.0,0,0,33598.0,1,4,0.07662337662337662
2012,125575.0,0,1,8999.0,0,4,-0.6804473304473304
2007,16200.0,0,1,8200.0,0,2,-0.4648629148629148
2014,70000.0,1,1,20000.0,0,4,-0.6113997113997113
2011,20200.0,0,1,79950.0,0,6,1.5375180375180377
2023,2978.0,0,0,45498.0,0,2,0.0
2007,189719.0,1,1,14000.0,0,3,0.07662337662337662
2019,9949.0,0,0,75798.0,1,4,0.6022366522366523
2022,3552.0,0,1,119999.0,0,6,1.0236652236652237
2012,54000.0,1,1,36880.0,0,4,-0.09321789321789316
2021,51351.0,0,1,43147.0,0,4,0.4933621933621934
2017,24280.0,1,1,29000.0,0,1,-0.63997113997114
2016,89148.0,0,1,17500.0,0,3,-0.11746031746031742
2017,73043.0,0,1,30990.0,0,5,-0.026118326118326058
2017,60000.0,1,1,52500.0,0,5,0.717821067821068
2016,73549.0,1,0,20848.0,0,2,-0.684126984126984
2005,110900.0,0,1,19500.0,0,2,0.5970418470418472
2013,39000.0,0,1,73000.0,0,5,0.2422799422799423
2016,120000.0,0,1,19800.0,0,5,-0.6875901875901875
2009,134602.0,0,1,7500.0,0,1,-0.16031746031746028
2023,1094.0,0,0,30999.0,1,3,-0.6054112554112554
2010,83500.0,0,1,6500.0,0,4,-0.7066378066378066
2014,37060.0,0,1,28500.0,0,4,0.6717171717171718
2010,97700.0,0,1,10995.0,0,3,-0.010966810966810897
2018,40000.0,0,1,42000.0,0,3,-0.23044733044733043
2018,8940.0,0,0,144900.0,0,4,1.5091630591630594
2014,186000.0,1,1,10000.0,0,5,-0.03650793650793646
2021,13180.0,0,0,23998.0,0,3,-0.42886002886002883
2014,104000.0,0,1,21000.0,0,4,-0.02698412698412694
2023,8500.0,0,1,67900.0,0,4,0.07821067821067826
2019,19069.0,0,0,69998.0,1,4,0.07662337662337662
2023,6090.0,0,1,46900.0,0,4,-0.6185425685425685
2022,4900.0,0,1,99000.0,0,6,1.0236652236652237
2019,47523.0,0,1,31000.0,0,4,-0.5923520923520923
2006,43000.0,1,1,19995.0,0,1,0.8502886002886004
2017,14684.0,0,1,130000.0,0,6,1.608946608946609
2019,57800.0,0,1,55999.0,0,4,0.18059163059163064
2023,952.0,0,1,49950.0,0,3,-0.6291486291486291
2019,21240.0,1,1,59950.0,0,4,0.21067821067821071
2019,59338.0,0,1,42499.0,0,5,-0.033694083694083644
2023,255.0,0,0,359991.0,0,6,1.5091630591630594
2019,23230.0,0,1,44999.0,0,6,0.17821067821067826
2017,48000.0,1,1,30000.0,0,3,-0.021789321789321737
2005,41059.0,0,1,11100.0,0,4,-0.2501443001443001
2020,21240.0,0,0,37998.0,0,5,-0.42886002886002883
2015,11500.0,0,1,72000.0,0,5,0.038816738816738854
2021,9950.0,0,1,53950.0,0,5,0.0831890331890332
2023,633.0,0,1,47999.0,0,2,-0.4328282828282828
2015,66000.0,1,1,15900.0,0,2,-0.6484126984126984
2014,59715.0,1,1,45000.0,0,4,0.8535353535353535
2012,85252.0,0,1,18500.0,0,4,-0.05512265512265507
2020,17900.0,1,1,80000.0,0,5,0.030591630591630642
2016,25500.0,0,1,55000.0,0,4,0.9141414141414143
2004,210703.0,1,0,2300.0,0,2,-0.7142135642135642
2023,3800.0,0,1,34000.0,0,2,-0.5256854256854256
2022,36602.0,0,1,31995.0,0,3,-0.7743867243867243
2023,2800.0,0,1,92000.0,0,6,1.9901154401154404
2021,2165.0,0,1,279950.0,1,6,1.5091630591630594
2018,33000.0,1,1,29900.0,0,5,-0.6090187590187589
2016,76009.0,0,1,24950.0,0,4,-0.11702741702741698
2020,31349.0,0,0,39366.0,0,3,0.6595238095238095
2015,48000.0,0,1,32900.0,0,4,-0.02698412698412694
2005,91420.0,0,1,8900.0,0,4,-0.3951659451659451
2003,124756.0,1,1,4995.0,0,3,-0.9036075036075036
2023,2415.0,0,0,104900.0,0,4,1.0702020202020204
2012,116226.0,0,1,7900.0,0,4,-0.05468975468975463
2020,37869.0,0,0,75950.0,0,4,0.7391774891774893
2019,41500.0,0,1,86000.0,0,4,-0.48001443001443
2013,87001.0,0,1,17995.0,0,4,-0.6308802308802309
2022,4451.0,1,1,55655.0,1,4,0.07662337662337662
2020,27158.0,0,0,39998.0,1,4,-0.42886002886002883
2014,139804.0,1,1,14500.0,0,4,-0.17005772005772005
2022,27300.0,0,1,47500.0,0,3,-0.061832611832611774
2014,36812.0,0,1,27000.0,0,4,-0.6113997113997113
2016,144000.0,1,1,18000.0,0,5,-0.021789321789321737
2019,44500.0,0,1,28900.0,0,4,-0.6185425685425685
2021,10917.0,0,0,73998.0,1,4,0.6022366522366523
2005,8332.0,0,1,47350.0,0,6,0.8892496392496393
2020,51247.0,0,0,47698.0,0,3,0.07662337662337662
2016,69000.0,0,1,36500.0,0,5,1.056998556998557
2021,147834.0,0,1,32662.0,0,5,-0.03167388167388157
